-0.291779 0.00211978 0.5 0.7
-0.332345 0.00173914 0.52 0.7
-0.364382 0.00137873 0.54 0.7
-0.386077 0.00110867 0.56 0.7
-0.399942 0.000956939 0.58 0.7
-0.406901 0.000832369 0.6 0.7
-0.410681 0.000827859 0.62 0.7
-0.408857 0.000885191 0.64 0.7
-0.40513 0.000992598 0.66 0.7
-0.398086 0.00112627 0.68 0.7
-0.296615 0.00217545 0.5 0.74
-0.348144 0.00180549 0.52 0.74
-0.382114 0.00143176 0.54 0.74
-0.406031 0.00112986 0.56 0.74
-0.42135 0.000937669 0.58 0.74
-0.429255 0.000764566 0.6 0.74
-0.431058 0.000763239 0.62 0.74
-0.428402 0.000866195 0.64 0.74
-0.424033 0.000958705 0.66 0.74
-0.414054 0.0011458 0.68 0.74
-0.291763 0.0022363 0.5 0.78
-0.345419 0.00177801 0.52 0.78
-0.38694 0.00140804 0.54 0.78
-0.415568 0.00109981 0.56 0.78
-0.431391 0.000901825 0.58 0.78
-0.440848 0.000786024 0.6 0.78
-0.442152 0.000799547 0.62 0.78
-0.438019 0.000921985 0.64 0.78
-0.429905 0.00112881 0.66 0.78
-0.418589 0.00126777 0.68 0.78
-0.28273 0.00215688 0.5 0.82
-0.340299 0.00182362 0.52 0.82
-0.383968 0.00144377 0.54 0.82
-0.413135 0.00116663 0.56 0.82
-0.430893 0.000942442 0.58 0.82
-0.440965 0.000853849 0.6 0.82
-0.442512 0.000869305 0.62 0.82
-0.439055 0.00102427 0.64 0.82
-0.4287 0.00119929 0.66 0.82
-0.414048 0.00153995 0.68 0.82
-0.266289 0.00215537 0.5 0.86
-0.323624 0.00178419 0.52 0.86
-0.367417 0.00141956 0.54 0.86
-0.399486 0.00113877 0.56 0.86
-0.418397 0.00103408 0.58 0.86
-0.429568 0.00091547 0.6 0.86
-0.430218 0.0010276 0.62 0.86
-0.425175 0.00117743 0.64 0.86
-0.413464 0.00144176 0.66 0.86
-0.396392 0.00169084 0.68 0.86
